fips,total_filed,total_default,total_judgment,total_plaintiff_won,total_immediate,median_principal,n_d_attorney,cases_plaintiff_business
001,922,382,575,573,218,2115,7,457
003,5363,1840,2429,2415,1669,2012.915,24,4738
005,954,322,526,524,115,1148.92,25,489
007,178,48,116,113,1,2317.5,4,73
009,1462,438,787,775,381,1195,22,973
011,370,104,202,202,62,950,1,196
013,10339,3176,4435,4387,2825,3840.5699999999997,66,9445
015,2098,580,949,922,52,1500,64,1524
017,41,9,21,21,1,1625,0,17
019,1661,506,980,949,272,1584.22,38,771
021,30,8,18,18,2,2155,2,7
023,445,159,261,255,91,2035.125,4,270
025,466,110,249,231,83,1300,11,172
027,164,55,98,97,12,1350,5,44
029,365,58,172,153,22,1300,4,121
031,3811,1324,2072,2042,1017,1000,33,2806
033,888,278,493,473,199,2187.25,5,506
035,562,202,406,404,11,1000,9,215
036,94,26,64,61,30,2185,11,26
037,367,140,215,214,66,850,2,192
041,31981,12810,17215,17152,12834,1564.995,248,28059
043,171,44,79,79,11,2000,4,93
045,81,21,48,47,14,1600,2,37
047,1667,465,821,815,260,1728,28,1179
049,260,54,148,142,24,2250,1,86
051,145,39,94,91,25,1200,4,48
053,1482,517,792,783,457,1140,15,1096
057,569,184,311,312,67,1140,5,356
059,33169,10304,13331,13475,9960,3526.34,787,28930
061,1147,294,580,566,322,2400,23,752
063,208,62,142,141,2,1358.5,11,65
065,239,59,158,154,23,1500,4,72
067,1317,536,897,882,468,1450,50,643
069,1656,565,863,838,291,1909.9,45,1083
071,615,198,292,290,12,1155.5,11,370
073,1411,406,659,651,548,1570,84,1072
075,267,71,134,135,10,1780.165,1,162
077,210,71,153,140,5,920,1,63
079,330,73,180,168,102,1792.54,6,162
081,527,142,302,298,122,716.5,6,150
083,831,260,453,442,98,1200,16,406
085,2531,820,1214,1190,432,1359.205,20,1914
087,47806,20367,26300,26198,11202,1251,94,43691
089,2164,753,1232,1207,3,1150,31,1245
091,18,1,12,11,1,1200,0,3
093,2703,1062,1274,1272,763,1350,32,2276
097,139,41,86,86,55,1635,3,30
099,826,256,416,413,99,2020,14,253
101,360,112,209,200,121,1700,8,205
103,392,145,243,234,84,1450,7,237
105,495,160,277,297,46,910,15,130
107,7285,2255,3180,3162,2103,3361.68,145,6254
109,1149,305,587,587,75,1701,22,752
111,321,91,190,181,8,1400,4,48
113,161,54,124,124,15,2725,2,41
115,161,48,87,86,61,1445,4,47
117,923,272,446,445,14,1200,9,362
119,206,44,110,107,77,2570,6,71
121,4139,1700,2266,2256,120,1020,66,3466
125,263,72,158,152,63,1200,4,67
127,220,74,135,126,74,2300,6,82
131,299,86,167,159,36,2100,7,146
133,197,66,146,135,49,2030,6,59
135,624,226,364,363,94,1690.01,7,367
137,921,255,522,528,107,1700,17,382
139,848,332,620,619,56,1381.24,29,271
141,255,72,152,152,3,1287.5,2,75
143,1794,743,1129,1121,618,1050,19,710
145,405,108,216,218,46,2087,6,143
147,1165,263,506,505,182,1500,11,598
149,3153,284,1434,1445,445,1350,14,2525
153,23953,8081,11273,11299,5916,2793,103,20033
155,1936,678,1190,1175,385,1230,44,1389
157,66,8,37,35,7,1915,1,13
159,160,28,101,99,13,1581.5,5,78
161,2899,959,1541,1510,445,1900,81,2275
163,681,187,346,337,148,1500,48,335
165,5617,1576,2180,2150,940,1550,148,3955
167,346,97,222,218,21,850,5,105
169,273,88,197,190,25,1510,12,82
171,1219,495,771,770,40,1768.71,21,579
173,1031,366,760,747,451,1000,14,344
175,724,341,478,400,67,840,13,506
177,5602,1839,2829,2798,1550,2300,73,4280
179,6015,1861,2885,2872,1661,2178,106,4844
181,158,47,87,85,18,1300,2,80
183,403,147,282,236,132,1473.3449999999998,2,194
185,1078,410,716,711,136,1140,14,521
187,1476,531,909,899,39,1445,40,764
191,1429,492,1014,954,406,1300,20,536
193,732,266,424,421,0,1575,10,416
195,1470,759,933,893,141,800,9,946
197,936,302,653,630,75,1300,26,445
199,4031,1651,2074,2043,1476,1010.72,16,3573
510,19578,6123,8226,8284,5982,3425,120,18257
520,2284,534,1052,1033,372,609,12,1141
530,398,131,240,241,2,1101,22,210
540,2039,561,967,956,651,1618.6,46,1271
550,22017,9249,11949,11898,9173,1232.57,75,18991
570,2430,948,1393,1374,958,1380.75,16,2058
590,6724,2993,4245,4208,942,850,42,4198
595,576,166,408,410,146,1305,2,267
610,296,83,135,136,54,4550.58,4,277
620,1054,296,442,439,16,1150,7,314
630,4884,1587,2392,2385,569,2454.21,50,4530
640,269,83,176,175,7,1000,1,81
650,33027,13907,18649,18668,16224,1376.56,619,29597
670,5426,2278,3235,3221,1150,1050,11,4252
680,9294,3087,5181,5119,2661,1115,106,6269
690,1904,692,1051,1060,2,1100,19,1208
703,53140,22218,30098,30072,23632,1174.33,351,48103
710,54988,19834,26009,26048,22928,1184.25,140,40883
730,15435,6418,9348,9337,6486,1370.83,113,13581
740,22815,9978,14245,14219,10209,1287.745,130,18127
750,1076,382,568,566,212,1719.17,25,801
760,22235,7440,11702,11635,4733,2050.5,165,20309
763,41706,18007,23159,22940,17980,799.12,202,34281
770,15148,5471,8247,8189,3415,1390,369,11518
775,2000,581,990,980,263,1620,24,1578
790,1513,501,836,822,260,1240,27,784
800,8318,3425,4375,4342,2902,1408,123,6024
810,52722,22139,28495,28427,22625,1300,70,44848
820,2261,725,1058,1045,215,1351.125,56,1441
830,5825,1684,2485,2475,1779,1207,45,5005
840,2635,977,1527,1496,560,1943.9,63,2052
